Title,Authors,Year,Journal,Journal_type,Type_stimulation,DBS,Electrode_type,Concurrent_fMRI,Brain_area,Brain_Name,Brain_Atlas,Brain_Parc,Brain_ParcLabel,Brain_Parc_Numb,Cortical_Subcortical,Species,Species_cat,Number_animals,Sex,Frequency,Amplitude_lower,Amplitude_higher,Amplitude_unit,Cathode_anode,Pulse_width,Waveform,Timespan,Task_description,Task_category,Behavioural_output,Main_output,Effect,Behavioural_description,Summary,Notes
Suppression of visually initiated hand movement by stimulation of the prefrontal cortex in the monkey,"Sasaki et al.,",1989,Brain Research,specialty,electrical,NO,Macroelectrode,NO,OFC,OFC,16,OFC,16,3,cortical,Macaca mulatta,rhesus,5,unclear,250 Hz,0.1,1,mA,unclear,1 ms,unclear,12-40 ms,go/no-go hand movement task,somatosensory & tactile,hands,hands,indirect,suppresses go movement by cancelling and delaying,decision,
Penile erection evoked from forebrain structures in Macaca mulatta,"Robinson & Mishkin,",1968,Archives of Neurology,specialty,electrical,NO,Macroelectrode,NO,Gyrus rectus,14,22,OFC,16,3,cortical,Macaca mulatta,rhesus,15,male,50 Hz,0,1,mA,cathodal,1.0 ms,monophasic,10000-30000 ms,no task,no task & resting-state,sexual,movement,mixed,Small chance of eliciting erections,sexual,
Elevation of pain threshold to tooth shock by brain stimulation in primates,"Oleson et al.,",1980,Brain Research,specialty,electrical,NO,Macroelectrode,NO,OFC,OFC,16,OFC,16,3,cortical,Macaca mulatta,rhesus,4,female,20 Hz,1,2,mA,unclear,0.5 ms,monophasic,60-120 s,"tooth pulp stimulation, escape task (lever)",somatosensory & tactile,hands,hands,mixed,Moderate elevations of tooth shock threshold were also observed with orbital cortex stimulation,fear conditioning,
The dorsomedial frontal cortex of the macaca monkey: fixation and saccade-related activity,"Bon & Lucchetti,",1992,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,dmPFC,rostral_dlPFC,59,dlPFC,54,4,cortical,"Macaca nemestrina, Macaca fascicularis",non_rhesus,2,unclear,330 Hz,8,150,μA,unclear,0.5 ms,biphasic,70-100 ms,bar release upon sound/visual stimulus,"cognitive, memory & decision-making",hands,hands,direct,drove the eye to the orbital position associated with maximal activity of the cell. Voluntary control,decision,
The dorsomedial frontal cortex of the rhesus monkey: topographic representation of saccades evoked by electrical stimulation,"Tehovnik & Lee,",1993,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,DMFC,dlPFC,54,dlPFC,54,4,cortical,Macaca mulatta,rhesus,3,male,140 Hz,50,600,μA,cathode first,0.1 ms,biphasic,400 ms,fixation task,eye movement & visual,saccades,eyes,direct,"contraversive saccades with a termination zone, varied with fixation position",decision,optimal parameters (did parameter tests!)
Saccades induced electrically from the dorsomedial frontal cortex: evidence for a head-centered representation,"Tehovnik et al.,",1998,Brain Research,specialty,electrical,NO,Microelectrode,NO,DMFC,dlPFC,54,dlPFC,54,4,cortical,Macaca mulatta,rhesus,2,unclear,150 Hz,400,400,μA,unclear,0.1 ms,biphasic,400 ms,fixation task,eye movement & visual,saccades,eyes,direct,stimulation depends on head-centered coordinates,decision,
Electrically evoked saccades from the dorsomedial frontal cortex and frontal eye fields: a parametric evaluation reveals differences between areas,"Tehovnik & Sommer,",1997,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,DMFC,dlPFC,54,dlPFC,54,4,cortical,Macaca mulatta,rhesus,2,male,150 Hz,400,400,μA,cathode first,0.1 ms,biphasic,400 ms,fixation task,eye movement & visual,saccades,eyes,direct,stimulation leads to e-saccades,decision,
Behavioural conditions affecting saccadic eye movements elicited electrically from the frontal lobes of primates,"Tehovnik et al.,",1999,European Journal of Neuroscience,specialty,electrical,NO,Microelectrode,NO,DMFC,dlPFC,54,dlPFC,54,4,cortical,Macaca mulatta,rhesus,2,unclear,150-350 Hz,43,1500,μA,cathode first,0.2 ms,biphasic,40-400 ms,fixation task,eye movement & visual,saccades,eyes,direct,"timing of stimulation affects thresholds for inducing saccades, DMFC less sensitive than FEF",decision,
Orienting movements in area 9 identified by long-train ICMS,"Lanzilotto et al.,",2015,Brain Structure & Function,specialty,electrical,NO,Microelectrode,NO,Area9,9,60,dlPFC,54,4,cortical,Macaca fascicularis,non_rhesus,2,female,300 Hz,20,150,μA,anode first,0.2 ms,biphasic,500-1000 ms,"fixation task, free-viewing",eye movement & visual,"saccades, movement",eyes,direct,eye movement and head rotation,attention,
"Ear and eye representation in the frontal cortex, area 8b, of the macaque monkey: an electrophysiological study","Bon & Lucchetti,",1994,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,Area8b,8B,55,dlPFC,54,4,cortical,Macaca fascicularis,non_rhesus,2,unclear,250 Hz,15,100,μA,unclear,unclear,biphasic,70-120 ms,"fixation, visually guided saccade task",eye movement & visual,saccades,eyes,direct,"evokes both ear and eye movements, orienting processes",attention,
Stimulation-evoked saccades from the dorsomedial frontal cortex of the rhesus monkey following lesions of the frontal eye fields and superior colliculus,"Tehovnik et al., ",1994,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,DMFC,dlPFC,54,dlPFC,54,4,cortical,Macaca mulatta,rhesus,4,unclear,150 Hz,400,400,μA,cathode first,0.1 ms,biphasic,400 ms,visually guided saccade task,eye movement & visual,saccades,eyes,direct,DMFC stimulation evokes saccades terminating in central space (independent of FEF/SC),decision,
Topographic distribution of fixation-related units in the dorsomedial frontal cortex of the rhesus monkey,"Lee & Tehovnik,",1995,European Journal of Neuroscience,specialty,electrical,NO,Microelectrode,NO,DMFC,dlPFC,54,dlPFC,54,4,cortical,Macaca mulatta,rhesus,3,male,150 Hz,200,200,μA,cathode first,0.1 ms,biphasic,200 ms,visually guided saccade task,eye movement & visual,saccades,eyes,direct,stimulation triggers saccades towards consistent end-points,decision,
CONDITIONED REFLEXES ELICITED BY ELECTRICAL STIMULATION OF THE BRAIN IN MACAQUES,"Doty,",1965,Journal of Neurophysiology,specialty,electrical,NO,Macroelectrode,NO,dlPFC,dlPFC,54,dlPFC,54,4,cortical,"Macaca nemestrina, Macaca fascicularis",non_rhesus,3,unclear,50 Hz,0.05,0.7,mA,unclear,0.5 ms,monophasic,seconds,conditioned response associated with stimulation,"conditioning, reward & motivation",hands,hands,direct,moves both eyes and head,decision,
Enhancement of multiple components of pursuit eye movement by microstimulation in the arcuate frontal pursuit area in monkeys,"Tanaka & Lisberger,",2002,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,FPA (frontal cortex),8B,55,dlPFC,54,4,cortical,Macaca mulatta,rhesus,2,male,333 Hz,50,50,μA,cathodal,0.2 ms,monophasic,75 ms,"fixation task, visual pursuit task",eye movement & visual,saccades,eyes,direct,"smooth eye movements, stronger during saccades to targets",motor,
Role of arcuate frontal cortex of monkeys in smooth pursuit eye movements. II. Relation to vector averaging pursuit,"Tanaka & Lisberger,",2002,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,FPA,8B,55,dlPFC,54,4,cortical,Macaca mulatta,rhesus,2,unclear,"100, 200, 333 Hz",50,50,μA,cathodal,0.2 ms,monophasic,"75, 200 ms",smooth eye pursuit,eye movement & visual,saccades,eyes,direct,biased the eye movement in the direction consistent with the evoked movements during fixation,decision,
Regulation of the gain of visually guided smooth-pursuit eye movements by frontal cortex,"Tanaka & Lisberger,",2001,Nature,broad,electrical,NO,Microelectrode,NO,FPA_frontalcortex,8B,55,dlPFC,54,4,cortical,Macaca mulatta,rhesus,2,male,"100, 200, 333 Hz",50,50,μA,cathodal,0.2 ms,monophasic,"75, 200 ms",visual smooth pursuit,visual perception & discrimination,saccades,eyes,direct,"stimulation mimics pursuit, FPA sets the gain of the pursuit",decision,
Effects of training on saccadic eye movements elicited electrically from the frontal cortex of monkeys,"Tehovnik & Slocum,",2000,Brain Research,specialty,electrical,NO,Microelectrode,NO,DMFC,dlPFC,54,dlPFC,54,4,cortical,Macaca mulatta,rhesus,2,unclear,150 Hz,400,400,μA,unclear,0.1 ms,unclear,200 ms,visually guided saccade task,eye movement & visual,saccades,eyes,direct,"directions of the saccades induced by stimulation, unaffected by training",decision,
Closed-loop microstimulations of the orbitofrontal cortex during real-life gaze interaction enhance dynamic social attention,"Fan et al.,",2024,Neuron,specialty,electrical,NO,Microelectrode,NO,dmPFC,rostral_dlPFC,59,dlPFC,54,4,cortical,Macaca mulatta,rhesus,2,male,100 Hz,75,75,μA,cathode first,0.4 ms,biphasic,200 ms,social gaze (another monkey),"cognitive, memory & decision-making",saccades,eyes,indirect,microstimulations of the dorsomedial prefrontal cortex modulated inter-individual gaze dynamics relative to one’s own gaze positions.,social,
Inactivation and stimulation of the frontal pursuit area change pursuit metrics without affecting pursuit target selection,"Mahaffy & Krauzlis,",2011,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,FPA_DLPFC,8B,55,dlPFC,54,4,cortical,Macaca mulatta,rhesus,2,unclear,500 Hz,40,50,μA,unclear,unclear,biphasic,400 ms,smooth eye pursuit,eye movement & visual,saccades,eyes,indirect,"microstimulation evokes pursuit, but not necessary for choice behaviour",attention,
Discharge properties of MST neurons that project to the frontal pursuit area in macaque monkeys,"Churchland & Lisberger,",2005,Journal of Neurophysiology,specialty,electrical,NO,Microelectrode,NO,FPA,8B,55,dlPFC,54,4,cortical,Macaca mulatta,rhesus,2,male,300-500 Hz,30,400,μA,unclear,0.3 ms,biphasic,80 ms,visual pursuit,eye movement & visual,eyes,eyes,indirect,Antidromic activation of MST neurons,NA,
Microstimulation of the dorsolateral prefrontal cortex biases saccade target selection,"Opris et al.,",2005,Journal of Cognitive Neuroscience,specialty,electrical,NO,Microelectrode,NO,DLPFC,dlPFC,54,dlPFC,54,4,cortical,Macaca mulatta,rhesus,3,male,350 Hz,10,100,μA,unclear,0.2 ms,biphasic,1000 ms,visually guided saccade task,eye movement & visual,saccades,eyes,indirect,biases saccades depending on RF,decision,
Microstimulation of monkey dorsolateral prefrontal cortex impairs antisaccade performance,"Wegener et al.,",2008,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,dlPFC,dlPFC,54,dlPFC,54,4,cortical,Macaca mulatta,rhesus,2,male,200 Hz,50,200,μA,unclear,0.3 ms,biphasic,200 ms,visually guided saccade task,eye movement & visual,saccades,eyes,indirect,delayed reaction times for pro- and anti-saccades,decision,parameter test performed
Asymmetric effective connectivity between primate anterior cingulate and lateral prefrontal cortex revealed by electrical microstimulation,"Nacher et al.,",2019,Brain Structure & Function,specialty,electrical,NO,Microelectrode,NO,lPFC,lat_PFC,50,dlPFC,54,4,cortical,Macaca mulatta,rhesus,2,male,4 Hz,140,500,μA,cathode first,480 μs,biphasic,20 ms,no task,no task & resting-state,neural,neural,indirect,no behavioural effects of stimulation,NA,
The role of the frontal pursuit area in learning in smooth pursuit eye movements,"Chou & Lisberger,",2004,Journal of Neuroscience,specialty,electrical,NO,Microelectrode,NO,FPA,8B,55,dlPFC,54,4,cortical,Macaca mulatta,rhesus,2,unclear,333 Hz,70,70,μA,unclear,0.2 ms,biphasic,80 ms,visual smooth pursuit,visual perception & discrimination,saccades,eyes,indirect,"stimulation enhances learning, decreases reaction times of smooth pursuit",motor learning,
Conditional task-related responses in monkey dorsomedial frontal cortex,"Mann et al.,",1988,Experimental Brain Research,specialty,electrical,NO,Microelectrode,NO,DMFC,dlPFC,54,dlPFC,54,4,cortical,Macaca mulatta,rhesus,3,unclear,250-300 Hz,20,300,μA,cathodal,unclear,monophasic,50-800 ms,visual motor task,visual perception & discrimination,"saccades, hands",eyes,indirect,"arrest of task-related, but not unrelated motor actions. ",decision,
Effect of successive electrical stimulation of different parts of the brain on delayed spatial choice in monkeys,"Mordrinov,",1981,Neuroscience and Behavioural Physiology,specialty,electrical,NO,Macroelectrode,NO,PFC,lat_PFC,50,dlPFC,54,4,cortical,Macaca mulatta,rhesus,2,male,60 Hz,80,110,μA,unclear,8 ms,unclear,6000 ms,memory task,"cognitive, memory & decision-making",hands,hands,indirect,stimulation combinations tested for a memory task where the monkey had to remember food in two positions,decision,
